"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"189","5483","5473","None",2018-11-23,0.13,0.36,11,2,15,"yes"
"190","5425","5473","None",2018-11-25,0.1,0,7,1,10,"yes"
"191","5476","5473","None",2018-11-24,0.07,0.17,6,2,27,"yes"
"192","5589","5473","Melia azedarach_437",2018-11-27,0,0.33,3,0,6,"yes"
"193","5462","5476","None",2018-11-25,0.06,0.67,3,1,18,"yes"
"194","5471","5476","None",2018-11-25,0,0.75,4,0,19,"yes"
"195","5473","5476","None",2018-11-24,0.04,0.83,6,1,24,"yes"
"196","5597","5476","None",2018-11-25,0,1,2,0,33,"yes"
"197","5486","5476","unknown_95",2018-12-05,0,0.33,3,0,15,"yes"
"198","5480","5476","None",2018-11-25,0,1,1,0,15,"yes"
"199","5483","5476","None",2018-11-25,0.11,0.75,4,1,9,"yes"
"200","5425","5476","Ficus religiosa_19",2018-11-25,0,0.5,6,0,10,"yes"
"201","5589","5476","None",2018-12-12,0,0,1,0,6,"yes"
"202","5458","5477","None",2018-11-24,0,0,1,0,9,"yes"
"203","5597","5477","Ficus carica_414",2018-11-25,0.03,1,3,1,33,"yes"
"204","5486","5477","None",2018-11-29,0,0,4,0,8,"yes"
"205","5480","5477","None",2018-11-27,0.11,0,3,1,9,"yes"
"206","5483","5477","None",2018-11-24,0,1,1,0,14,"yes"
"207","5458","5479","None",2018-11-23,0,0,2,0,15,"yes"
"208","5462","5479","None",2018-11-23,0,0,3,0,10,"yes"
"209","5471","5479","Ficus carica_673",2018-11-22,0,0,1,0,39,"yes"
"210","5473","5479","None",2018-11-24,0.04,0.33,3,1,24,"yes"
"211","5597","5479","None",2018-11-22,0,0.33,3,0,27,"yes"
"212","5486","5479","None",2018-11-22,0,0.2,5,0,16,"yes"
"213","5056","5479","None",2018-11-23,0.08,0.17,6,1,13,"yes"
"214","5477","5479","None",2018-11-23,0.09,0.12,8,1,11,"yes"
"215","5480","5479","None",2018-11-23,0.07,0.25,4,1,15,"yes"
"216","5483","5479","None",2018-11-23,0,0,2,0,15,"yes"
"217","5425","5479","None",2018-11-25,0,0,1,0,10,"yes"
"218","5476","5479","None",2018-11-25,0,0,2,0,25,"yes"
"219","5589","5479","None",2018-11-23,0.12,0,5,1,8,"yes"
"220","5462","5480","None",2018-11-24,0,0,1,0,14,"yes"
"221","5473","5480","Ficus religiosa_19",2018-11-25,0,1,1,0,25,"yes"
"222","5597","5480","None",2018-11-24,0,0.5,2,0,29,"yes"
"223","5486","5480","None",2018-11-23,0,0.5,4,0,18,"yes"
"224","5056","5480","None",2018-12-12,0,0,1,0,8,"yes"
"225","5477","5480","None",2018-11-27,0,1,3,0,19,"yes"
"226","5483","5480","None",2018-11-24,0.07,1,1,1,14,"yes"
"227","5425","5480","None",2018-11-25,0,0,1,0,10,"yes"
"228","5476","5480","None",2018-11-25,0,0,1,0,25,"yes"
"229","5589","5480","None",2018-12-12,0,0,1,0,6,"yes"
"230","5458","5483","Melia azedarach_437",2018-11-23,0.07,0.67,6,1,15,"yes"
"231","5462","5483","None",2018-11-23,0.2,0.25,4,2,10,"yes"
"232","5473","5483","None",2018-11-23,0.12,0.64,11,3,25,"yes"
"233","5597","5483","Persimmon_32",2018-11-23,0.04,0.5,6,1,23,"yes"
