"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"255","5749","6181","Loquat_443",2019-11-06,0,0.75,4,0,2,"yes","c(""Carob"", ""Ficus religiosa"")"
"256","5781","6181","Ficus religiosa_12",2019-11-08,0,0.75,8,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"")"
"257","6250","6181","unknown_1431",2019-11-07,1,0.5,6,1,1,"yes","Palm"
"258","6251","6181","None",2019-11-06,0,0.12,8,0,1,"yes","Ficus religiosa"
"259","5764","6182","None",2019-09-24,0,1,2,0,1,"yes","Ficus religiosa"
"260","5599","6182","Ficus microcarpa_36",2019-09-23,0,0.75,4,0,3,"yes","c(""Ficus microcarpa"", ""Palm"")"
"261","5770","6238","None",2019-11-07,0,0.67,3,0,1,"yes","c(""Palm"", ""Carob"")"
"262","6181","6238","None",2019-11-10,0,0.5,2,0,1,"yes","Ficus religiosa"
"263","6265","6238","unknown_1435",2019-11-16,0,0.25,8,0,1,"yes","Ficus religiosa"
"264","5778","6238","None",2019-11-07,0,0.67,3,0,2,"yes","Palm"
"265","5761","6240","Washingtonia_436",2019-11-30,0,0,3,0,1,"yes","Carob"
"266","5744","6240","None",2019-12-03,0,0,1,0,2,"yes","Carob"
"267","5751","6242","unknown_642",2019-11-09,1,1,3,1,1,"yes","Palm"
"268","5745","6242","None",2019-11-06,0,1,4,0,3,"yes","c(""Ficus religiosa"", ""Palm"")"
"269","5770","6242","Palm_319",2019-11-07,0,0,2,0,1,"yes","c(""Palm"", ""Carob"")"
"270","6245","6242","None",2019-11-06,0,0,3,0,1,"yes","Ficus sycomorus"
"271","5778","6242","Ficus carica_671",2019-11-06,0,0.2,5,0,1,"yes","Palm"
"272","6027","6242","unknown_1131",2019-11-07,0,1,2,0,1,"yes","Palm"
"273","5751","6245","unknown_642",2019-11-09,0,1,2,0,1,"yes","Palm"
"274","6181","6245","None",2019-11-07,0,0.33,3,0,1,"yes","c(""Palm"", ""Ficus religiosa"")"
"275","5781","6245","None",2019-11-07,0,1,3,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"")"
"276","6242","6245","None",2019-11-06,0,1,3,0,2,"yes","c(""Carob"", ""Palm"")"
"277","6250","6245","None",2019-11-08,0,0,1,0,1,"yes","Palm"
"278","5778","6245","None",2019-11-06,0,0.67,3,0,1,"yes","Palm"
